durationStartYear	DURATION_END_YEAR	ECAI	fupItem	value	COUNTERPARTY_RISK_TYPE_CODE	TYPE_OF_BOND
10	15	5	D_Subtract	10	CR3	Government Bonds
15	20	5	D_Subtract	15	CR3	Government Bonds
20	9999	5	D_Subtract	20	CR3	Government Bonds
0	5	6	Absolute	0	CR3	Government Bonds
5	10	6	Absolute	0.375	CR3	Government Bonds
10	15	6	Absolute	0.585	CR3	Government Bonds
15	20	6	Absolute	0.61	CR3	Government Bonds
20	9999	6	Absolute	0.635	CR3	Government Bonds
0	5	6	D_Relative	0.075	CR3	Government Bonds
5	10	6	D_Relative	0.042	CR3	Government Bonds
10	15	6	D_Relative	0.005	CR3	Government Bonds
15	20	6	D_Relative	0.005	CR3	Government Bonds
20	9999	6	D_Relative	0.005	CR3	Government Bonds
0	5	6	D_Subtract	0	CR3	Government Bonds
5	10	6	D_Subtract	5	CR3	Government Bonds
10	15	6	D_Subtract	10	CR3	Government Bonds
15	20	6	D_Subtract	15	CR3	Government Bonds
20	9999	6	D_Subtract	20	CR3	Government Bonds
0	5	9	Absolute	0	CR3	Government Bonds
5	10	9	Absolute	0.15	CR3	Government Bonds
10	15	9	Absolute	0.235	CR3	Government Bonds
15	20	9	Absolute	0.235	CR3	Government Bonds
20	9999	9	Absolute	0.35	CR3	Government Bonds
0	5	9	D_Relative	0.03	CR3	Government Bonds
5	10	9	D_Relative	0.017	CR3	Government Bonds
10	15	9	D_Relative	0.012	CR3	Government Bonds
15	20	9	D_Relative	0.012	CR3	Government Bonds
20	9999	9	D_Relative	0.005	CR3	Government Bonds
0	5	9	D_Subtract	0	CR3	Government Bonds
5	10	9	D_Subtract	5	CR3	Government Bonds
10	15	9	D_Subtract	10	CR3	Government Bonds
15	20	9	D_Subtract	10	CR3	Government Bonds
20	9999	9	D_Subtract	20	CR3	Government Bonds
0	9999	0	Absolute	0	CR3	Structured Notes
0	9999	0	D_Relative	0.125	CR3	Structured Notes
0	9999	0	D_Subtract	0	CR3	Structured Notes
0	9999	1	Absolute	0	CR3	Structured Notes
0	9999	1	D_Relative	0.134	CR3	Structured Notes
0	9999	1	D_Subtract	0	CR3	Structured Notes
0	9999	2	Absolute	0	CR3	Structured Notes
0	9999	2	D_Relative	0.166	CR3	Structured Notes
0	9999	2	D_Subtract	0	CR3	Structured Notes
0	9999	3	Absolute	0	CR3	Structured Notes
0	9999	3	D_Relative	0.197	CR3	Structured Notes
0	9999	3	D_Subtract	0	CR3	Structured Notes
0	9999	4	Absolute	0	CR3	Structured Notes
0	9999	4	D_Relative	0.82	CR3	Structured Notes
0	9999	4	D_Subtract	0	CR3	Structured Notes
0	9999	5	Absolute	0	CR3	Structured Notes
0	9999	5	D_Relative	1	CR3	Structured Notes
0	9999	5	D_Subtract	0	CR3	Structured Notes
0	9999	6	Absolute	0	CR3	Structured Notes
0	9999	6	D_Relative	1	CR3	Structured Notes
0	9999	6	D_Subtract	0	CR3	Structured Notes
0	9999	9	Absolute	0	CR3	Structured Notes
0	9999	9	D_Relative	1	CR3	Structured Notes
0	9999	9	D_Subtract	0	CR3	Structured Notes
