Balloon ID	Bus ID	Amount Requested	Amount Decided	Currency	AttradiusReshare	LOB	Answer Date	Request Date	Expiry Date	Comments
05401C1 02	11506905	137000000	137000000	EUR	2.6	C	06/01/2023	20/12/2022	31/12/2023	-
36180C1 01	19241638	225003138	225003138	PLN	15.93	C	06/01/2023	20/12/2022	31/12/2023	-
04252C1 71	19241638	225007320	225007320	PLN	6.83	C	06/01/2023	20/12/2022	31/12/2023	-
08992C1 04	19835853	2499999	2499999	EUR	28.0	C	06/01/2023	20/12/2022	31/12/2023	-
05401C1 02	4109026	110000000	110000000	EUR	2.66	C	06/01/2023	20/12/2022	31/12/2023	-
05401C1 02	4777779	110000000	110000000	EUR	2.6	C	06/01/2023	20/12/2022	31/12/2023	-
03583C1 02	15192802	2000000	2000000	EUR	48.0	C	06/01/2023	06/01/2023	30/11/2023	-
03583C1 02	11238089	700000	700000	EUR	39.0	C	20/01/2023	16/01/2023	31/12/2023	-
00794B1 01	16484203	6500000	6500000	EUR	24.0	B	20/01/2023	16/01/2023	21/08/2024	-
04566B1 01	19241638	80000000	80000000	PLN	35.0	C	20/01/2023	16/01/2023	31/12/2023	-
02901C1 01	10169054	50000000	50000000	MAD	20.0	C	20/01/2023	16/01/2023	31/12/2023	-
02901C1 01	12675291	60000000	60000000	MAD	20.0	C	20/01/2023	16/01/2023	31/12/2023	-
08992C1 04	16985186	2699999	2699999	EUR	28.0	C	20/01/2023	16/01/2023	31/08/2023	-
36090B1 01	20338494	8000000000	8000000000	ARS	7.5	B	20/01/2023	16/01/2023	31/12/2023	-
35507C1 01	4757323	257330612	257330612	MUR	24.5	C	20/01/2023	16/01/2023	31/12/2023	-
00794B1 01	24112506	14500000	14500000	EUR	24.0	B	20/01/2023	20/01/2023	31/12/2023	-
36090B1 01	10456295	18000000000	18000000000	ARS	15.0	B	20/01/2023	16/01/2023	31/10/2023	-
03079B1 73	16018501	100000000	100000000	PLN	3.6	B	20/01/2023	16/01/2023	31/12/2023	-
04566B1 01	16207516	50000000	50000000	PLN	35.0	B	20/01/2023	16/01/2023	31/12/2023	-
02901C1 01	17675529	75000000	75000000	MAD	20.0	C	20/01/2023	16/01/2023	31/12/2023	-
03583C1 02	21612830	700000	700000	EUR	39.0	C	20/01/2023	16/01/2023	31/12/2023	-
02901C1 01	23171845	60000000	60000000	MAD	20.0	C	20/01/2023	16/01/2023	31/12/2023	-
02901C1 01	23661391	45000000	45000000	MAD	20.0	C	20/01/2023	16/01/2023	31/12/2023	-
02065C1 01	23912627	450000000	450000000	DZD	17.55	C	20/01/2023	16/01/2023	31/01/2024	-
04566B1 01	15477437	60000000	60000000	PLN	35.0	B	20/01/2023	16/01/2023	31/12/2023	-
35507C1 01	10645977	233093877	233093877	MUR	24.5	C	27/01/2023	23/01/2023	31/01/2024	-
35507C1 01	19592398	85906122	85906122	MUR	24.5	C	27/01/2023	23/01/2023	31/08/2023	-
08890C1 05	24189473	43012345	43012345	USD	4.05	C	27/01/2023	23/01/2023	01/03/2028	-
35507C1 01	584187	150000000	150000000	MUR	24.5	C	27/01/2023	23/01/2023	31/01/2024	-
05401C1 02	11226106	140000000	140000000	EUR	2.66	C	30/01/2023	30/01/2023	31/12/2023	-
36180B1 01	13268303	31500000	31500000	EUR	35.0	B	30/01/2023	30/01/2023	31/01/2024	-
02065C1 01	14862613	900000000	900000000	DZD	17.55	C	31/01/2023	30/01/2023	31/12/2023	-
03583C1 02	39412629	500000	500000	EUR	39.0	C	02/02/2023	30/01/2023	31/12/2023	-
02065C1 01	57787556	200000000	200000000	DZD	17.55	C	02/02/2023	30/01/2023	31/12/2023	-
03079B1 73	21426425	170000000	170000000	PLN	3.6	B	10/02/2023	22/11/2022	30/10/2023	-
07359B1 04	14406439	8378857142	8378857142	MXN	7.0	B	10/02/2023	07/02/2023	31/12/2023	-
04551B1 01	2005503	1568940000	1568940000	BRL	15.0	B	10/02/2023	07/02/2023	03/12/2024	-
08992C1 01	21432055	2499999	2499999	EUR	28.0	C	10/02/2023	07/02/2023	31/07/2023	-
36128B1 01	22500793	3211000000	3211000000	ZAR	10.8	B	10/02/2023	07/02/2023	31/12/2023	-
36180B1 02	22556672	12004662	12004662	EUR	8.58	B	10/02/2023	07/02/2023	31/12/2023	-
02585B1 02	23304110	3000000000	3000000000	MXN	2.44	B	10/02/2023	07/02/2023	31/01/2024	-
05401C1 02	9753101	140000000	140000000	EUR	2.66	C	10/02/2023	07/02/2023	31/12/2023	-
35507C1 01	10382014	210000000	210000000	MUR	24.5	C	27/02/2023	13/02/2023	30/11/2023	-
02065C1 01	13669400	1560398860	1560398860	DZD	17.55	C	27/02/2023	13/02/2023	31/12/2023	-
35507C1 01	17913393	280000000	280000000	MUR	24.5	C	27/02/2023	13/02/2023	31/12/2023	-
02065C1 01	21997686	600000000	600000000	DZD	17.55	C	27/02/2023	13/02/2023	31/12/2023	-
02108C1 01	11655566	216000	216000	USD	25.0	C	27/02/2023	20/02/2023	31/08/2023	-
02065C1 01	55174297	500000000	500000000	DZD	17.55	C	27/02/2023	20/02/2023	12/02/2024	-
02901C1 01	3963329	40000000	40000000	MAD	20.0	C	03/03/2023	27/02/2023	31/12/2023	-
