BusID	Parent	Country
7281455	GERDAU S/A	BRA
14469974	ITRON, INC.	USA
23482695	CARRIER GLOBAL CORPORATION	USA
4747774	BAYER AKTIENGESELLSCHAFT	DEU
13703874	SONDA S.A.	CHL
21845064	SPECTATOR UAB	LTU
9898589	CHIVGATE LIMITED	GBR
2186092	LARSEN AND TOUBRO LIMITED	IND
10382068	WORLD FUEL SERVICES CORPORATION	USA
2297579	LEONI AG	DEU
1451912	VOITH GMBH & CO. KGAA	DEU
1562779	TELEFONICA SA	ESP
16224754	GRUPO CLARIN S.A.	ARG
1901661	TOTALENERGIES SE	FRA
22503779	APPLE BIDCO LIMITED	GBR
469532	HALLIBURTON COMPANY	USA
16347107	TERNIUM S.A.	LUX
4769291	EXXON MOBIL CORPORATION	USA
4293258	ACS ACTIVIDADES DE CONSTRUCCION Y	ESP
16174103	PRYSMIAN S.P.A.	ITA
4713324	SKANSKA AB	SWE
3989299	SCHNEIDER ELECTRIC SE	FRA
9706246	PROSEGUR COMPAÑIA DE SEGURIDAD SA	ESP
4741790	UMICORE SA	BEL
10118672	ARLA FOODS AMBA	DNK
15609081	LANXESS AKTIENGESELLSCHAFT	DEU
804963	EMERSON ELECTRIC CO.	USA
21687418	BOXMARK LEATHER HOLDING GMBH	AUT
8940405	BENITO ROGGIO E HIJOS SA T/A	ARG
847863	NEC CORPORATION	JPN
1922212	INMOBILIARIA ESPACIO SA	ESP
17416532	WESTERN UNION COMPANY, THE	USA
4739091	TELEFON AB LM ERICSSON	SWE
196727	FINNING INTERNATIONAL INC.	CAN
766996	ABENGOA SA	ESP
4032102	SAUDI ARABIAN AMIANTIT COMPANY	SAU
4233146	BANCO PICHINCHA C.A.	ECU
1625444	ACEITERA GENERAL DEHEZA SA	ARG
4885191	NISSAN MOTOR CO LTD	JPN
4114072	MCCAIN FOODS LIMITED	CAN
225668	BRISTOL-MYERS SQUIBB COMPANY	USA
97743	TAKEDA PHARMACEUTICAL CO LTD	JPN
4891446	SAVENCIA SA	FRA
15383296	CENCOSUD, S.A.	CHL
9048584	ATOS SE	FRA
4252663	ACCIONA SA	ESP
20785002	UNIGRAN INDUSTRIA COMERCIO E	BRA
23742095	Z HOLDING PARTICIPACOES	BRA
15034364	COSTER TECNOLOGIE SPECIALI SPA	ITA
23395589	STAMINA TOPCO B.V.	NLD
71107390	GUALA CLOSURES S.P.A.	ITA
17974883	PAN AMERICAN SILVER CORP	CAN
12174512	PFIZER INC.	USA
16542344	INTERNATIONAL CONTAINER TERMINAL	PHL
24238644	CLOUDWALK INC.	USA
1045515	JAPAN PULP AND PAPER COMPANY	JPN
13675315	GARBARINO SAICEI	ARG
22049579	ATHIE WOHNRATH ASSOCIADOS PROJETOS	BRA
3892396	ROBERT BOSCH GESELLSCHAFT MIT	DEU
22407321	ALPHAVILLE S/A	BRA
19300858	HEXING ELECTRICAL CO LTD	CHN
2589204	ASICS CORPORATION	JPN
15532598	MINERVA S/A	BRA
4765266	REVLON, INC.	USA
3892771	TOYOTA TSUSHO CORPORATION	JPN
9465478	HELMERICH & PAYNE, INC.	USA
1703011	LEAR CORPORATION	USA
4882786	HOLCIM AG	CHE
4102668	ROYAL CARIBBEAN CRUISES LTD.	USA
22118303	ACEROLUX SL	ESP
21202047	CANEYBI CORP. S.A.	ECU
97196890	CORPORACION MARESA HOLDING S.A.	ECU
21156868	FRAGNANI EMPREENDIMENTOS E	BRA
23142413	ENGEFORM PARTICIPACOES LTDA	BRA
22765493	GRAO PARA PARTICIPACOES E	BRA
483735	KONICA MINOLTA INC	JPN
10015368	INTERNATIONAL WATER SERVICES	NLD
4755210	FURUKAWA ELECTRIC CO LTD	JPN
2576117	TATA SONS PRIVATE LIMITED	IND
4801371	C.H. BOEHRINGER SOHN AG & CO. KG	DEU
22420303	ISA PARTICIPACOES S/A	BRA
23618710	MASON PARTICIPACOES E	BRA
22652448	CHAPADA DO PIAUI I HOLDING S/A	BRA
22221038	VIRGIN ATLANTIC LIMITED	GBR
20455593	CONSORCIO NOBIS S.A.	ECU
19088919	SYNERGY GROUP CORP	BRA
17265253	DONGWON ENTERPRISE CO LTD	KOR
15613780	INVERSIONES HKV S.A.	PAN
14549319	INMO ALAMEDA SL	ESP
22549460	Z8 CONSULTORIA EMPRESARIAL LTDA	BRA
9268996	STANLEY ELECTRIC CO LTD	JPN
14363878	EXPEDIA GROUP, INC.	USA
19360757	IMCD N.V.	NLD
14427849	NEXSYS DE COLOMBIA S.A.S.	COL
44023474	COPOBRAS PARTICIPACOES S/A	BRA
1705427	SIGMAPLAST S.A.	ECU
20784991	SERGLOBAL PARTICIPACOES LTDA	BRA
24142874	GBRBR HOLDING S/A	BRA
4756857	SUMITOMO RUBBER INDUSTRIES LTD	JPN
4868919	COLGATE-PALMOLIVE COMPANY	USA
19794874	MODERMAR SA	VGB
21004313	RIO PURUS PARTICIPACOES S/A	BRA
