Balloon ID	Bus ID	Current Exposure	Currency	Last Updated	LOB
02143B1 01	7226103	1666666	USD	22/06/2022	B
02143B1 01	13677617	1688888	USD	22/06/2022	B
02143B1 01	22269646	1577777	USD	22/06/2022	B
02143B1 01	17552346	1533333	USD	22/06/2022	B
02143B1 01	20338521	1533333	USD	22/06/2022	B
02143B1 01	7226413	1488888	USD	22/06/2022	B
02143B1 01	16783701	1488888	USD	22/06/2022	B
02143B1 01	7201597	1477777	USD	22/06/2022	B
02143B1 01	10635850	1433333	USD	22/06/2022	B
02143B1 01	23047402	1433333	USD	22/06/2022	B
02143B1 01	21640588	1400000	USD	22/06/2022	B
02143B1 01	21530651	1300000	USD	22/06/2022	B
02143B1 01	21389323	1288888	USD	22/06/2022	B
02143B1 01	9894428	1233333	USD	22/06/2022	B
02143B1 01	23047406	1211111	USD	22/06/2022	B
02143B1 01	10339299	1144444	USD	22/06/2022	B
02143B1 01	15590770	1177777	USD	22/06/2022	B
02143B1 01	20527993	1188888	USD	22/06/2022	B
02143B1 01	9805195	1133333	USD	22/06/2022	B
02143B1 01	10091104	1122222	USD	22/06/2022	B
02143B1 01	20338728	1133333	USD	22/06/2022	B
02143B1 01	21912911	1088888	USD	22/06/2022	B
02143B1 01	1582284	1077777	USD	22/06/2022	B
02143B1 01	21385996	1055555	USD	22/06/2022	B
02143B1 01	23127054	1077777	USD	22/06/2022	B
02143B1 01	64432672	1066666	USD	22/06/2022	B
02143B1 01	20338519	1022222	USD	22/06/2022	B
02143B1 01	20383710	1022222	USD	22/06/2022	B
02143B1 01	22993634	1022222	USD	22/06/2022	B
02143B1 01	7158919	966666	USD	22/06/2022	B
02143B1 01	17564153	955555	USD	22/06/2022	B
02143B1 01	20383659	955555	USD	22/06/2022	B
02143B1 01	22724520	900000	USD	22/06/2022	B
02143B1 01	68258265	888888	USD	22/06/2022	B
02143B1 01	21389321	877777	USD	22/06/2022	B
02143B1 01	24008254	866666	USD	22/06/2022	B
02143B1 01	7159118	855555	USD	22/06/2022	B
02143B1 01	14390063	844444	USD	22/06/2022	B
02143B1 01	20338617	855555	USD	22/06/2022	B
02143B1 01	550758	822222	USD	22/06/2022	B
02143B1 01	9321384	822222	USD	22/06/2022	B
02143B1 01	21572222	833333	USD	22/06/2022	B
02143B1 01	99022378	822222	USD	22/06/2022	B
02143B1 01	2483441	811111	USD	22/06/2022	B
02143B1 01	21311641	811111	USD	22/06/2022	B
02143B1 01	21389349	811111	USD	22/06/2022	B
02143B1 01	22993632	800000	USD	22/06/2022	B
02143B1 01	10791886	755555	USD	22/06/2022	B
02143B1 01	1598560	744444	USD	22/06/2022	B
02143B1 01	16426273	733333	USD	22/06/2022	B
02143B1 01	20338511	744444	USD	22/06/2022	B
02143B1 01	22423532	744444	USD	22/06/2022	B
02143B1 01	22993642	744444	USD	22/06/2022	B
02143B1 01	22468772	722222	USD	22/06/2022	B
02143B1 01	22543358	722222	USD	22/06/2022	B
02143B1 01	43068025	711111	USD	22/06/2022	B
02143B1 01	9269359	688888	USD	22/06/2022	B
02143B1 01	9998582	688888	USD	22/06/2022	B
02143B1 01	15665522	700000	USD	22/06/2022	B
02143B1 01	20329874	688888	USD	22/06/2022	B
02143B1 01	9725308	677777	USD	22/06/2022	B
02143B1 01	22677237	688888	USD	22/06/2022	B
02143B1 01	1986838	655555	USD	22/06/2022	B
02143B1 01	16714481	655555	USD	22/06/2022	B
02143B1 01	1778250	644444	USD	22/06/2022	B
02143B1 01	13676189	644444	USD	22/06/2022	B
02143B1 01	4034449	611111	USD	22/06/2022	B
02143B1 01	17310400	600000	USD	22/06/2022	B
02143B1 01	20548755	600000	USD	22/06/2022	B
02143B1 01	13676382	588888	USD	22/06/2022	B
02143B1 01	9957797	577777	USD	22/06/2022	B
02143B1 01	11678924	577777	USD	22/06/2022	B
02143B1 01	21372752	577777	USD	22/06/2022	B
02143B1 01	21572214	577777	USD	22/06/2022	B
02143B1 01	1141289	566666	USD	22/06/2022	B
02143B1 01	17118577	566666	USD	22/06/2022	B
02143B1 01	20963023	555555	USD	22/06/2022	B
02143B1 01	21372767	544444	USD	22/06/2022	B
02143B1 01	22543506	544444	USD	22/06/2022	B
02143B1 01	17383333	533333	USD	22/06/2022	B
02143B1 01	20338718	533333	USD	22/06/2022	B
02143B1 01	21572220	533333	USD	22/06/2022	B
02143B1 01	22269656	522222	USD	22/06/2022	B
02143B1 01	23379548	522222	USD	22/06/2022	B
02143B1 01	13676167	500000	USD	22/06/2022	B
02143B1 01	16701170	511111	USD	22/06/2022	B
02143B1 01	21372984	500000	USD	22/06/2022	B
02143B1 01	21373284	500000	USD	22/06/2022	B
02143B1 01	21389370	500000	USD	22/06/2022	B
02143B1 01	7168049	488888	USD	22/06/2022	B
02143B1 01	9907621	477777	USD	22/06/2022	B
02143B1 01	16524271	477777	USD	22/06/2022	B
02143B1 01	16945281	477777	USD	22/06/2022	B
02143B1 01	22696707	466666	USD	22/06/2022	B
02143B1 01	16065060	444444	USD	22/06/2022	B
02143B1 01	21389341	444444	USD	22/06/2022	B
02143B1 01	23407102	455555	USD	22/06/2022	B
02143B1 01	23407373	444444	USD	22/06/2022	B
02143B1 01	9910040	433333	USD	22/06/2022	B
02143B1 01	10172709	444444	USD	22/06/2022	B
02143B1 01	17259082	433333	USD	22/06/2022	B
02143B1 01	21572208	433333	USD	22/06/2022	B
02143B1 01	11518702	411111	USD	22/06/2022	B
02143B1 01	21352197	411111	USD	22/06/2022	B
02143B1 01	2128219	400000	USD	22/06/2022	B
02143B1 01	9898697	400000	USD	22/06/2022	B
02143B1 01	14489698	377777	USD	22/06/2022	B
02143B1 01	15946175	388888	USD	22/06/2022	B
02143B1 01	19139050	377777	USD	22/06/2022	B
02143B1 01	20569882	377777	USD	22/06/2022	B
02143B1 01	22081259	388888	USD	22/06/2022	B
02143B1 01	22669835	388888	USD	22/06/2022	B
02143B1 01	794004	366666	USD	22/06/2022	B
02143B1 01	16827294	366666	USD	22/06/2022	B
02143B1 01	21572226	366666	USD	22/06/2022	B
02143B1 01	22677235	366666	USD	22/06/2022	B
02143B1 01	2062040	355555	USD	22/06/2022	B
02143B1 01	13676973	366666	USD	22/06/2022	B
02143B1 01	20338713	355555	USD	22/06/2022	B
02143B1 01	20383608	355555	USD	22/06/2022	B
02143B1 01	9678908	333333	USD	22/06/2022	B
02143B1 01	10741922	333333	USD	22/06/2022	B
02143B1 01	16594800	344444	USD	22/06/2022	B
02143B1 01	21372898	344444	USD	22/06/2022	B
02143B1 01	21373285	333333	USD	22/06/2022	B
02143B1 01	21572256	344444	USD	22/06/2022	B
